trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-176.7428934554345,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-114.28539799323472,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-82.91838686379494,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-101.7089018500863,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-110.79611613336753,"{0: 11, 1: 2, 2: 3, 3: 4, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-123.31072048980292,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,4,-89.36421842007361,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,6,7.348457976560864,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-102.67323018853158,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-6.710694850661796,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-77.24580690877737,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,2,-33.13815648929908,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,2,-45.25121349367666,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,12,-17.302144237374293,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,11,-40.24227411525702,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-77.00669740311211,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-115.02326029693388,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,11.997271779837465,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,0,19.703238869331333,"{0: 33, 1: 0, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,0,11.25010024725681,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,10,-19.829626345735605,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-9.639599819296928,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,16,-35.3567748182011,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,4,-10.610852419410607,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-90.25690155338808,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,13,20.0927200653963,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,15,-1.530128031869312,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,18,23.125404116324244,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",35,23,7.978609830050325,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,13,8.721806739466132,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
