trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-130.49952761745928,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.98}",25,11,-53.739522581308904,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.9603999999999999}",25,0,-87.91011468966431,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9411919999999999}",25,0,-86.51319757243857,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9223681599999999}",20,0,-12.93056853460764,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9039207967999999}",20,0,-29.298441406323207,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.8858423808639999}",25,0,-112.48268096900594,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.8681255332467199}",35,5,-127.48207879337922,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.8507630225817855}",20,0,-51.56696281740393,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.8337477621301498}",20,8,-19.90104107532482,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.8170728068875467}",20,0,-102.60266087835633,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8007313507497958}",20,0,-123.66707608305751,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.7847167237347998}",25,0,-58.11466970565821,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7690223892601038}",25,0,-102.25551914380333,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.7536419414749017}",25,0,-123.42910891168165,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.7385691026454038}",25,0,-125.90562838703121,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.7237977205924956}",20,0,-35.92615230497385,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.7093217661806457}",20,0,-73.90559334996766,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.6951353308570327}",20,0,-59.88611554758031,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.6812326242398921}",30,0,-234.43880959157977,"{0: 17, 1: 3, 2: 4, 3: 2, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.6676079717550942}",25,0,-68.4662331726089,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.6542558123199923}",20,0,-74.9286691964421,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.6411706960735924}",20,0,-68.05617081005344,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.6283472821521207}",20,11,-49.884821293892855,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.6157803365090783}",25,5,-46.54671169960341,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.6034647297788966}",35,2,-128.39644082616473,"{0: 23, 1: 1, 2: 6, 3: 1, 4: 2}",1
27,False,"{'a': 0.5, 'e': 0.5913954351833187}",20,0,-52.55231127636673,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.5795675264796523}",20,9,-70.9254613995722,"{0: 6, 1: 0, 2: 2, 3: 3, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.5679761759500592}",20,0,-66.33755057459456,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.5566166524310581}",20,3,-15.263042394670979,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
