trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-69.67845503739568,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.7574463143216,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-243.03542445643572,"{0: 14, 1: 4, 2: 7, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.66476220806113,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.18543146556695,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,10,-79.79983214452626,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.00653284660312,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.49052981266695,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.18494982341784,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,13,-75.11795827127054,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.5993987626627,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-135.98450434165792,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.5734365553954,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.54247947890903,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.69417758364494,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.26662277250678,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-170.11423311902226,"{0: 15, 1: 8, 2: 3, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.87225757995459,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-190.04753650539377,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,13,-4.738330351734458,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.59958162063963,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-35.26374295036999,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.59070237219552,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-179.52828715450298,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,10,-96.19087766684298,"{0: 8, 1: 0, 2: 5, 3: 1, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-199.10836605337946,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-143.89546638580234,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-154.04145663173517,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.20961437685413,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-151.27146683357907,"{0: 16, 1: 2, 2: 10, 3: 1, 4: 1}",0
